Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_21 12:06:42.135;0;I;1220;808;2100;4;;5b410cbc;-0.008560503832995892
23_02_21 12:06:42.265;0;I;1220;808;2100;4;;01e81ebc;-0.009698868729174137
23_02_21 12:06:42.396;0;I;1220;808;2100;4;;2229cdbc;-0.025044027715921402
23_02_21 12:06:42.528;0;I;1220;808;2100;4;;74a78d3d;0.06916704773902893
23_02_21 12:06:42.659;0;I;1220;808;2100;4;;aacfb0bc;-0.021583396941423416
23_02_21 12:06:42.789;0;I;1220;808;2100;4;;a445e7bc;-0.02823144942522049
23_02_21 12:06:42.921;0;I;1220;808;2100;4;;0ca3d1bc;-0.0255904421210289
23_02_21 12:06:43.052;0;I;1220;808;2100;4;;f1160b3e;0.13582970201969147
23_02_21 12:06:43.184;0;I;1220;808;2100;4;;2cf4153d;0.03660981357097626
23_02_21 12:06:43.317;0;I;1220;808;2100;4;;3bf8123c;0.00897031556814909
23_02_21 12:06:43.446;0;I;1220;808;2100;4;;62c38a3b;0.0042347172275185585
23_02_21 12:06:43.578;0;I;1220;808;2100;4;;66fcbe39;0.0003642767551355064
23_02_21 12:06:43.709;0;I;1220;808;2100;4;;f3db56ba;-0.0008196227136068046
23_02_21 12:06:43.841;0;I;1220;808;2100;4;;10e4d0ba;-0.0015937108546495438
23_02_21 12:06:43.973;0;I;1220;808;2100;4;;9493a6be;-0.32534468173980713
23_02_21 12:06:44.105;0;I;1220;808;2100;4;;5b39c1bd;-0.09434767812490463
23_02_21 12:06:44.233;0;I;1220;808;2100;4;;49be02bd;-0.031919751316308975
23_02_21 12:06:44.364;0;I;1220;808;2100;4;;37a77dbc;-0.015481761656701565
23_02_21 12:06:44.496;0;I;1220;808;2100;4;;29b316bc;-0.009197988547384739
23_02_21 12:06:44.627;0;I;1220;808;2100;4;;80bbee3b;0.0072855353355407715
23_02_21 12:06:44.758;0;I;1220;808;2100;4;;b9cbe2bb;-0.0069212582893669605
23_02_21 12:06:44.888;0;I;1220;808;2100;4;;1766cfbb;-0.006329308729618788
