Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_14 11:26:17.236;1442;I;1220;808;2100;4;;1ee8cdbb;-0.0062837740406394005
23_02_14 11:26:17.350;1446;I;1220;808;2100;4;;b5922ebc;-0.010655094869434834
23_02_14 11:26:17.495;1450;I;1220;808;2100;4;;e8a489bc;-0.016802266240119934
23_02_14 11:26:17.616;1454;I;1220;808;2100;4;;45bb10bc;-0.00883371103554964
23_02_14 11:26:17.741;1458;I;1220;808;2100;4;;3f29fc3b;0.007695346605032682
23_02_14 11:26:17.871;1462;I;1220;808;2100;4;;c4962b3c;0.010472957044839859
23_02_14 11:26:18.009;1466;I;1220;808;2100;4;;92006b3c;0.014343397691845894
23_02_14 11:26:18.130;1470;I;1220;808;2100;4;;4d2d793c;0.015208554454147816
23_02_14 11:26:18.260;1474;I;1220;808;2100;4;;cf515e3c;0.013569309376180172
23_02_14 11:26:18.392;1478;I;1220;808;2100;4;;d21e8e3c;0.017348680645227432
23_02_14 11:26:18.530;1482;I;1220;808;2100;4;;31e78a3e;0.27129510045051575
23_02_14 11:26:18.661;1486;I;1220;808;2100;4;;984c27bd;-0.04084452986717224
23_02_14 11:26:18.783;1490;I;1220;808;2100;4;;99445cbd;-0.05377635732293129
23_02_14 11:26:18.918;1494;I;1220;808;2100;4;;a00468bd;-0.05664503574371338
23_02_14 11:26:19.051;1498;I;1220;808;2100;4;;99c076bd;-0.060242269188165665
23_02_14 11:26:19.174;1502;I;1220;808;2100;4;;376970bd;-0.05869409069418907
23_02_14 11:26:19.302;1506;I;1220;808;2100;4;;b92cdc3d;0.10750717669725418
23_02_14 11:26:19.443;1510;I;1220;808;2100;4;;ec59d83d;0.10564026236534119
23_02_14 11:26:19.563;1514;I;1220;808;2100;4;;01e81ebd;-0.03879547491669655
23_02_14 11:26:19.707;1518;I;1220;808;2100;4;;7fcb84bb;-0.004052578937262297
23_02_14 11:26:19.824;1522;I;1220;808;2100;4;;49b6b7bd;-0.08970315009355545
23_02_14 11:26:19.960;1526;I;1220;808;2100;4;;30efbcbd;-0.09225308895111084
23_02_14 11:26:20.114;1530;I;1220;808;2100;4;;80bbee3b;0.0072855353355407715
23_02_14 11:26:20.250;1534;I;1220;808;2100;4;;830c043c;0.008059623651206493
23_02_14 11:26:20.359;1538;I;1220;808;2100;4;;4d3d8f3b;0.00437132129445672
23_02_14 11:26:20.523;1542;I;1220;808;2100;4;;80bbeebb;-0.0072855353355407715
23_02_14 11:26:20.630;1546;I;1220;808;2100;4;;bd887c3d;0.06165384128689766
23_02_14 11:26:20.749;1550;I;1220;808;2100;4;;01e0533b;0.003232956165447831
23_02_14 11:26:20.901;1554;I;1220;808;2100;4;;0809243e;0.16019070148468018
23_02_14 11:26:21.016;1558;I;1220;808;2100;4;;8ec736bc;-0.011155975982546806
23_02_14 11:26:21.131;1562;I;1220;808;2100;4;;75f870bc;-0.014707674272358418
23_02_14 11:26:21.267;1566;I;1220;808;2100;4;;dd555bbc;-0.013387170620262623
