Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;direction.x;direction.y;direction.z;invalidFlag;mcuTemperature
23_03_14 14:37:51.194;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:51.295;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:51.395;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:51.493;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:51.595;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:51.694;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:51.793;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:51.899;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:51.994;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:52.096;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:52.194;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:52.295;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:52.396;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:52.497;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:52.595;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:52.693;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:52.793;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:52.893;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:52.993;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:53.096;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:53.196;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:53.295;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:53.395;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:53.495;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:53.595;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:53.697;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000120;0.0;0.0;0.0;True;32
23_03_14 14:37:53.794;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:53.895;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:53.993;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:54.094;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:54.198;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:54.297;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:54.395;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:54.495;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:54.594;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:54.693;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000122;0.0;0.0;0.0;True;34
23_03_14 14:37:54.791;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:54.894;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
23_03_14 14:37:54.992;0;I;C08;808;22A6;26;;0000000000000000000000000000000000000000000000000121;0.0;0.0;0.0;True;33
